----------------Prefab----------------------
undles\UI\Blood\UIBattleFly_Add.prefab   123
undles\UI\Common\ES_ActivityYueKa.prefab   周卡剩余领取次数:
undles\UI\Common\ES_ActivityYueKa.prefab   0/7
undles\UI\Common\ES_ActivityYueKa.prefab   周卡特权\n激活周卡,副本将额外开启一个宝箱
undles\UI\Common\ES_BattleEnter.prefab   每天20:30-21:00开启
undles\UI\Common\ES_BattleEnter.prefab   1. 战场会把人随机分配到对应阵营中
undles\UI\Common\ES_BattleEnter.prefab   2. 在战场胜利的一方将获得奖励
undles\UI\Common\ES_BattleEnter.prefab   3.在战场中完成战场任务获得积分奖励
undles\UI\Common\ES_BattleEnter.prefab   获胜奖励
undles\UI\Common\ES_BattleEnter.prefab   进入战场
undles\UI\Common\ES_BattleEnter.prefab   猎魔阵营
undles\UI\Common\ES_BattleEnter.prefab   曙光阵营
undles\UI\Common\ES_BattleShop.prefab   购买
undles\UI\Common\ES_BattleShop.prefab   当前拥有数量:
undles\UI\Common\ES_BattleShop.prefab   0
undles\UI\Common\ES_BattleShop.prefab   -10
undles\UI\Common\ES_BattleShop.prefab   -1
undles\UI\Common\ES_BattleShop.prefab   +10
undles\UI\Common\ES_BattleShop.prefab   +1
undles\UI\Common\ES_ButtonPositionSet.prefab   确认改动
undles\UI\Common\ES_ButtonPositionSet.prefab   取消改动
undles\UI\Common\ES_ButtonPositionSet.prefab   恢复默认
undles\UI\Common\ES_ButtonPositionSet.prefab   拖动技能可以设置技能对应的按钮位置
undles\UI\Common\ES_ChatView.prefab   正在玩家私聊中...
undles\UI\Common\ES_ChatView.prefab   发送消息
undles\UI\Common\ES_ChengJiuJingling.prefab   提示:精灵只能装备一种,只有装备的精灵才有效果。
undles\UI\Common\ES_ChengJiuReward.prefab   成就点数：
undles\UI\Common\ES_ChengJiuReward.prefab   850
undles\UI\Common\ES_ChengJiuReward.prefab   成就奖励
undles\UI\Common\ES_ChengJiuReward.prefab   2060成就奖励
undles\UI\Common\ES_ChengJiuReward.prefab   累计成就点
undles\UI\Common\ES_ChengJiuShow.prefab   关卡成就
undles\UI\Common\ES_ChengJiuShow.prefab   200/200
undles\UI\Common\ES_ChengJiuShow.prefab   第一章
undles\UI\Common\ES_ChengJiuShow.prefab   完成度
undles\UI\Common\ES_ChouKaChapterSelect.prefab   探宝选择
undles\UI\Common\ES_ChouKaChapterSelect.prefab   第一章探宝
undles\UI\Common\ES_ChouKaChapterSelect.prefab   第二章探宝
undles\UI\Common\ES_ChouKaChapterSelect.prefab   第三章探宝
undles\UI\Common\ES_ChouKaChapterSelect.prefab   第四章探宝
undles\UI\Common\ES_ChouKaChapterSelect.prefab   第五章探宝
undles\UI\Common\ES_ChouKaChapterSelect.prefab   1级可以激活此探宝选项
undles\UI\Common\ES_ChouKaChapterSelect.prefab   18级可以激活此探宝选项
undles\UI\Common\ES_ChouKaChapterSelect.prefab   30级可以激活此探宝选项
undles\UI\Common\ES_ChouKaChapterSelect.prefab   40级可以激活此探宝选项
undles\UI\Common\ES_ChouKaChapterSelect.prefab   50级可以激活此探宝选项
undles\UI\Common\ES_CommonItem.prefab   999
undles\UI\Common\ES_CommonItem.prefab   锁定
undles\UI\Common\ES_CostItem.prefab   名字
undles\UI\Common\ES_CountryHuoDong.prefab   活动列表
undles\UI\Common\ES_CountryHuoDong.prefab   神器之王
undles\UI\Common\ES_CountryHuoDong.prefab   准时出现在宝藏之地,必掉一个橙色装备!拥有掉落归属的玩家可以获得喔!
undles\UI\Common\ES_CountryHuoDong.prefab   每日12:00  和 22:30（开区第一周）
undles\UI\Common\ES_CountryHuoDong.prefab   进度值:  0/1
undles\UI\Common\ES_CountryHuoDong.prefab   立即前往
undles\UI\Common\ES_CountryHuoDong.prefab   巨龙来袭
undles\UI\Common\ES_CountryHuoDong.prefab   每日12:30准时出现在宝藏之地！
undles\UI\Common\ES_CountryHuoDong.prefab   每日12:30
undles\UI\Common\ES_CountryHuoDong.prefab   红包来袭
undles\UI\Common\ES_CountryHuoDong.prefab   每日19:30红包准时来袭！
undles\UI\Common\ES_CountryHuoDong.prefab   每日19:30
undles\UI\Common\ES_CountryHuoDong.prefab   角斗场
undles\UI\Common\ES_CountryHuoDong.prefab   在角斗场坚持时间越长获得奖励越丰厚!
undles\UI\Common\ES_CountryHuoDong.prefab   详情介绍
undles\UI\Common\ES_CountryHuoDong.prefab   每日19:40开启   19:50关闭入口
undles\UI\Common\ES_CountryHuoDong.prefab   世界领主
undles\UI\Common\ES_CountryHuoDong.prefab   世界领主准时携带巨量宝物来袭！
undles\UI\Common\ES_CountryHuoDong.prefab   每周一、三、五、七20:00开启
undles\UI\Common\ES_CountryHuoDong.prefab   小龟赛跑
undles\UI\Common\ES_CountryHuoDong.prefab   活动开启前10分钟,小龟赛跑大使会准时出现在主城正下方喔！
undles\UI\Common\ES_CountryHuoDong.prefab   每周二、四、六20:00开启
undles\UI\Common\ES_CountryHuoDong.prefab   战场活动
undles\UI\Common\ES_CountryHuoDong.prefab   玩家多人随机对战，获胜方将获得丰厚奖励
undles\UI\Common\ES_CountryHuoDong.prefab   每日20:30-21：00
undles\UI\Common\ES_CountryHuoDong.prefab   宝藏活动
undles\UI\Common\ES_CountryHuoDong.prefab   拾取场景内的宝箱获得丰厚的奖励
undles\UI\Common\ES_CountryHuoDong.prefab   每周一、三、五、七 21:00开启
undles\UI\Common\ES_CountryHuoDong.prefab   变身大赛
undles\UI\Common\ES_CountryHuoDong.prefab   变成各种各样的怪物,率先到达终点即可获得最后的胜利。
undles\UI\Common\ES_CountryHuoDong.prefab   每周二、四、六 21:00开启
undles\UI\Common\ES_CountryHuoDong.prefab   喜从天降
undles\UI\Common\ES_CountryHuoDong.prefab   全地图随机刷新道具，只要随机到指定位置即可获得奖励
undles\UI\Common\ES_CountryHuoDong.prefab   每周一、三、五、七 21:30开启
undles\UI\Common\ES_CountryHuoDong.prefab   狩猎活动
undles\UI\Common\ES_CountryHuoDong.prefab   活动期间不消耗体力,击败怪物数量越多获得奖励越丰厚
undles\UI\Common\ES_CountryHuoDong.prefab   每周二、四、六 21:30开启
undles\UI\Common\ES_CountryHuoDong.prefab   竞技场
undles\UI\Common\ES_CountryHuoDong.prefab   玩家之间1对1的竞技挑战,展现自身真正硬实力
undles\UI\Common\ES_CountryHuoDong.prefab   每周一、三、五、七 22:00开启
undles\UI\Common\ES_CountryHuoDong.prefab   家族入侵
undles\UI\Common\ES_CountryHuoDong.prefab   进入家族地图,打败入侵者,获得丰厚奖励
undles\UI\Common\ES_CountryHuoDong.prefab   每周二、四、六 22:00开启
undles\UI\Common\ES_CountryTask.prefab   活跃度
undles\UI\Common\ES_CountryTask.prefab   60活跃度
undles\UI\Common\ES_DigTreasure.prefab   挖
undles\UI\Common\ES_DonationShow.prefab   我要捐献
undles\UI\Common\ES_DonationShow.prefab   捐献排行
undles\UI\Common\ES_DonationShow.prefab   捐献金币在争霸战中作为奖励进行分配
undles\UI\Common\ES_DonationShow.prefab   捐献排行榜每天0:00清空
undles\UI\Common\ES_DonationShow.prefab   我已捐献10000000金币
undles\UI\Common\ES_DonationShow.prefab   捐献额度
undles\UI\Common\ES_DonationShow.prefab   最低捐献10万金币...
undles\UI\Common\ES_DonationShow.prefab   当前已捐献：10000金币
undles\UI\Common\ES_DonationShow.prefab   捐献第1名
undles\UI\Common\ES_DonationShow.prefab   游戏内爆率提升25%,对怪伤害增加30%,暴击率+5%
undles\UI\Common\ES_DonationShow.prefab   王者捐献
undles\UI\Common\ES_DonationShow.prefab   捐献第2名
undles\UI\Common\ES_DonationShow.prefab   游戏内爆率提升20%,对怪伤害增加25%
undles\UI\Common\ES_DonationShow.prefab   钻石捐献
undles\UI\Common\ES_DonationShow.prefab   捐献第3名
undles\UI\Common\ES_DonationShow.prefab   游戏内爆率提升15%,对怪伤害增加20%
undles\UI\Common\ES_DonationShow.prefab   黄金捐献
undles\UI\Common\ES_DonationShow.prefab   捐献第4-5名
undles\UI\Common\ES_DonationShow.prefab   游戏内爆率提升10%,对怪伤害增加15%
undles\UI\Common\ES_DonationShow.prefab   白银捐献
undles\UI\Common\ES_DonationShow.prefab   捐献第6-10名
undles\UI\Common\ES_DonationShow.prefab   游戏内爆率提升5%,对怪伤害增加10%
undles\UI\Common\ES_DonationShow.prefab   青铜捐献
undles\UI\Common\ES_DonationShow.prefab   其他: 只要捐献最低可获得爱心捐献状态
undles\UI\Common\ES_DonationUnion.prefab   家族争霸赛
undles\UI\Common\ES_DonationUnion.prefab   活动开启时间： 4月11日19点30开启
undles\UI\Common\ES_DonationUnion.prefab   累计总奖金： 100万金币
undles\UI\Common\ES_DonationUnion.prefab   1. 总奖励的20%将作为手续费累计到下次争霸赛中。\n2. 获胜家族的成员将平分奖池内的60%奖励。\n3. 其他参与家族的成员将平分奖池内40%奖励。\n4. 玩家在争霸捐献中的50%将自动累计到奖池中。
undles\UI\Common\ES_DonationUnion.prefab   已报名家族：
undles\UI\Common\ES_DonationUnion.prefab   报名家族战
undles\UI\Common\ES_DonationUnion.prefab   进入争霸
undles\UI\Common\ES_EquipmentIncreaseShow.prefab   角色
undles\UI\Common\ES_EquipmentIncreaseShow.prefab   背包
undles\UI\Common\ES_EquipmentIncreaseShow.prefab   战力: 9999
undles\UI\Common\ES_EquipmentIncreaseShow.prefab   职业: 魔之战士
undles\UI\Common\ES_EquipmentIncreaseShow.prefab   攻击1-1
undles\UI\Common\ES_EquipmentIncreaseShow.prefab   洗练装备
undles\UI\Common\ES_EquipmentIncreaseShow.prefab   洗练消耗
undles\UI\Common\ES_EquipmentIncreaseShow.prefab   使用道具
undles\UI\Common\ES_EquipmentIncreaseShow.prefab   重铸次数:
undles\UI\Common\ES_EquipmentIncreaseShow.prefab   10/10
undles\UI\Common\ES_EquipmentIncreaseShow.prefab   1. 在这里放入装备洗练对应装备的极品属性。\n2. 洗练后装备获得的极品属性完全随机。\n3. 装备等级越高，洗练消耗的金币越高，获得的\n极品属性越好。\n4. 洗练有一定概率失败，失败装备属性不变。\n5. 洗炼有概率出现幸运值属性。
undles\UI\Common\ES_EquipmentIncreaseTransfer.prefab   属性转移
undles\UI\Common\ES_EquipmentIncreaseTransfer.prefab   放入装备
undles\UI\Common\ES_EquipmentIncreaseTransfer.prefab   只有传承增幅才可以转移,普通增幅无法转移
undles\UI\Common\ES_EquipmentIncreaseTransfer.prefab   转移装备需要同类型和部位的装备
undles\UI\Common\ES_EquipmentIncreaseTransfer.prefab   左边的装备传承增幅属性会清空转移至右边的装备
undles\UI\Common\ES_EquipmentIncreaseTransfer.prefab   放入装备44444
undles\UI\Common\ES_EquipmentIncreaseTransfer.prefab   转移消耗
undles\UI\Common\ES_EquipmentIncreaseTransfer.prefab   拖动左侧的装备放入此处
undles\UI\Common\ES_EquipSetItem.prefab   武器
undles\UI\Common\ES_EquipTips.prefab   武器的名字啊啊
undles\UI\Common\ES_EquipTips.prefab   类型：剑
undles\UI\Common\ES_EquipTips.prefab   部位：手套
undles\UI\Common\ES_EquipTips.prefab   等级：10
undles\UI\Common\ES_EquipTips.prefab   未绑定
undles\UI\Common\ES_EquipTips.prefab   +11强化
undles\UI\Common\ES_EquipTips.prefab   【基础属性】
undles\UI\Common\ES_EquipTips.prefab   攻击
undles\UI\Common\ES_EquipTips.prefab   黄色攻击宝石
undles\UI\Common\ES_EquipTips.prefab   【鉴定属性】
undles\UI\Common\ES_EquipTips.prefab   【套装属性】
undles\UI\Common\ES_EquipTips.prefab   黄金套装(0/4)
undles\UI\Common\ES_EquipTips.prefab   点击查看部件
undles\UI\Common\ES_EquipTips.prefab   萨雷斯之
undles\UI\Common\ES_EquipTips.prefab   萨雷斯之怒（1/4）
undles\UI\Common\ES_EquipTips.prefab   提示:穿戴后激活套装
undles\UI\Common\ES_EquipTips.prefab   【隐藏技能】
undles\UI\Common\ES_EquipTips.prefab   隐藏技能提示框
undles\UI\Common\ES_EquipTips.prefab   制造者：星星点灯
undles\UI\Common\ES_EquipTips.prefab   取消回炼
undles\UI\Common\ES_EquipTips.prefab   回 炼
undles\UI\Common\ES_EquipTips.prefab   这并不是一个普通的武器
undles\UI\Common\ES_EquipTips.prefab   存 入
undles\UI\Common\ES_EquipTips.prefab   仓库取出
undles\UI\Common\ES_EquipTips.prefab   出售
undles\UI\Common\ES_EquipTips.prefab   装备
undles\UI\Common\ES_EquipTips.prefab   卸下装备
undles\UI\Common\ES_FashionShow.prefab   头部
undles\UI\Common\ES_FashionShow.prefab   脸
undles\UI\Common\ES_FashionShow.prefab   眼睛
undles\UI\Common\ES_FashionShow.prefab   眉毛
undles\UI\Common\ES_FashionShow.prefab   头饰
undles\UI\Common\ES_FashionShow.prefab   脸部
undles\UI\Common\ES_FashionShow.prefab   上衣
undles\UI\Common\ES_FashionShow.prefab   服饰
undles\UI\Common\ES_FashionShow.prefab   鞋子
undles\UI\Common\ES_FashionShow.prefab   形象展示
undles\UI\Common\ES_FashionShow.prefab   提示：时装碎片可使用珍品羽毛在主城进行兑换。
undles\UI\Common\ES_FenXiangQQAddSet.prefab   点击一键加入
undles\UI\Common\ES_FenXiangQQAddSet.prefab   游戏官方交流QQ群:473268983
undles\UI\Common\ES_FenXiangQQAddSet.prefab   加入官方群领取新手福利,与其他玩家共同交流喔!
undles\UI\Common\ES_FenXiangSet.prefab   QQ分享
undles\UI\Common\ES_FenXiangSet.prefab   120
undles\UI\Common\ES_FenXiangSet.prefab   点击分享
undles\UI\Common\ES_FenXiangSet.prefab   邀请QQ好友
undles\UI\Common\ES_FenXiangSet.prefab   微信分享
undles\UI\Common\ES_FenXiangSet.prefab   邀请微信好友
undles\UI\Common\ES_FenXiangSet.prefab   一键加入
undles\UI\Common\ES_FenXiangSet.prefab   抖音分享
undles\UI\Common\ES_FenXiangSet.prefab   邀请抖音好友
undles\UI\Common\ES_FenXiangSet.prefab   支持作者
undles\UI\Common\ES_FenXiangSet.prefab   功能等审核通过后即可开启,请耐心等待……  
undles\UI\Common\ES_FenXiangSet.prefab   游戏交流企鹅群:473268983(内有福利和攻略哦)
undles\UI\Common\ES_FenXiangSet.prefab   提示:游戏内出现相关问题可加群找管理解决哦！
undles\UI\Common\ES_FenXiangSet.prefab   领取分享奖励,需要等级达到10级且在线时间达到30分钟即可
undles\UI\Common\ES_FirstWin.prefab   首胜名单
undles\UI\Common\ES_FirstWin.prefab   首胜奖励
undles\UI\Common\ES_FirstWin.prefab   个人奖励
undles\UI\Common\ES_FirstWin.prefab   （已刷新）
undles\UI\Common\ES_FirstWin.prefab   领主升级: 1/10
undles\UI\Common\ES_FirstWin.prefab   怪物经验:
undles\UI\Common\ES_FirstWin.prefab   技能介绍1111111111   技能介绍\n技能介绍技能介绍技能介绍\n技能介绍\n技能介绍\n技能介绍\n技能介绍\n技能介绍\n技能介绍
undles\UI\Common\ES_FirstWin.prefab   技能介绍
undles\UI\Common\ES_FirstWin.prefab   普通模式
undles\UI\Common\ES_FirstWin.prefab   困难模式
undles\UI\Common\ES_FirstWin.prefab   地狱模式
undles\UI\Common\ES_FirstWin.prefab   怪物掉落
undles\UI\Common\ES_FirstWin.prefab   等级：1
undles\UI\Common\ES_FirstWin.prefab   技能
undles\UI\Common\ES_FirstWin.prefab   次级领主
undles\UI\Common\ES_FirstWin.prefab   刷新时间：
undles\UI\Common\ES_FirstWin.prefab   提示:每次击败领主获得1点领主经验,领主升级后掉落会增加，实力会上升，冷却时间会延长
undles\UI\Common\ES_FirstWin.prefab   钢铁护卫-丝里安
undles\UI\Common\ES_HuntRanking.prefab   狩猎剩余时间
undles\UI\Common\ES_HuntRanking.prefab   0分0秒
undles\UI\Common\ES_HuntRanking.prefab   玩家的名字
undles\UI\Common\ES_HuntRanking.prefab   狩猎的数量:999
undles\UI\Common\ES_HuntRanking.prefab      2    玩家的名字
undles\UI\Common\ES_HuntRanking.prefab         狩猎的数量:99
undles\UI\Common\ES_HuntRanking.prefab   狩猎规则
undles\UI\Common\ES_HuntRanking.prefab   1. 活动期间怪物正常掉落,击败怪物不消耗体力。
undles\UI\Common\ES_HuntRanking.prefab   2.活动期间,普通怪物的掉落率提升200%
undles\UI\Common\ES_HuntRanking.prefab   3.击败怪物等级不能低于自身9级。
undles\UI\Common\ES_HuntRanking.prefab   4.活动结束后奖励会通过邮件进行统一发放。
undles\UI\Common\ES_ItemAppraisalTips.prefab   121211 
undles\UI\Common\ES_ItemAppraisalTips.prefab   类型：装备
undles\UI\Common\ES_ItemAppraisalTips.prefab   使用等级：30
undles\UI\Common\ES_ItemAppraisalTips.prefab   此装备由我制造
undles\UI\Common\ES_ItemAppraisalTips.prefab   鉴定打造的装备大概率出现隐藏属性
undles\UI\Common\ES_ItemAppraisalTips.prefab   未鉴定装备
undles\UI\Common\ES_ItemAppraisalTips.prefab   请消耗1个鉴定卷轴鉴定此装备
undles\UI\Common\ES_ItemAppraisalTips.prefab   当前品质：80
undles\UI\Common\ES_ItemAppraisalTips.prefab   当前附加生命：10-100
undles\UI\Common\ES_ItemAppraisalTips.prefab   品质越高开启封印的属性越好
undles\UI\Common\ES_ItemAppraisalTips.prefab   鉴定
undles\UI\Common\ES_ItemAppraisalTips.prefab   存储
undles\UI\Common\ES_ItemAppraisalTips.prefab   回炼
undles\UI\Common\ES_ItemAppraisalTips.prefab   取消
undles\UI\Common\ES_ItemAppraisalTips.prefab   卸下宝石
undles\UI\Common\ES_ItemAppraisalTips.prefab   取回
undles\UI\Common\ES_ItemAppraisalTips.prefab   增加品质
undles\UI\Common\ES_ItemAppraisalTips.prefab   激活属性
undles\UI\Common\ES_JiaYuanCookbook.prefab   提示：每次制作成功菜肴，如果配方正确，可以领悟对应的食谱
undles\UI\Common\ES_JiaYuanCooking.prefab   开始制作
undles\UI\Common\ES_JiaYuanCooking.prefab   1. 使用不同的食材可以制造出不同的菜肴
undles\UI\Common\ES_JiaYuanCooking.prefab   2.每种菜肴烹饪会有2-4种不同的材料构成
undles\UI\Common\ES_JiaYuanCooking.prefab   3.商人也会在收购一些比较热销的商品哦
undles\UI\Common\ES_JiaYuanCooking.prefab   222222222222222
undles\UI\Common\ES_JiaYuanCooking.prefab   制作烹饪
undles\UI\Common\ES_JiaYuanDaShiPro.prefab   请大师品尝
undles\UI\Common\ES_JiaYuanDaShiPro.prefab   提示：当单条属性值超过80%时,每日凌晨属性会小浮动下降自己。
undles\UI\Common\ES_JiaYuanMystery_A.prefab   商店购买
undles\UI\Common\ES_JiaYuanPasture_B.prefab   剩余刷新时间:10:30
undles\UI\Common\ES_JiaYuanPetWalk.prefab   提示:点击散步的宠物可以喂食增加心情值,心情值越高获得奖励会越多。
undles\UI\Common\ES_JiaYuanPurchase.prefab   刷新
undles\UI\Common\ES_JiaYuanPurchase.prefab   刷新倒计时： 10:10:10
undles\UI\Common\ES_JiaYuaVisit.prefab   附近
undles\UI\Common\ES_JiaYuaVisit.prefab   好友
undles\UI\Common\ES_JiaYuaVisit.prefab   采摘:10/10  \n打扫:10/10
undles\UI\Common\ES_JueXingShow.prefab   技能名称
undles\UI\Common\ES_JueXingShow.prefab   拔刀击技能提升1级
undles\UI\Common\ES_JueXingShow.prefab   觉醒经验：
undles\UI\Common\ES_JueXingShow.prefab   消耗金币： 100/500
undles\UI\Common\ES_JueXingShow.prefab   0/100
undles\UI\Common\ES_JueXingShow.prefab   提示:需要激活上方全部技能后可学习觉醒技能,觉醒经验为击败怪物获得。
undles\UI\Common\ES_LunTan.prefab   关注公众号,获取更多序列号奖励哦！
undles\UI\Common\ES_LunTan.prefab   点击打开论坛
undles\UI\Common\ES_LunTan.prefab   1
undles\UI\Common\ES_LunTan.prefab   游戏交流论坛
undles\UI\Common\ES_LunTan.prefab   提示: 每个评论只能领取一次奖励哦~
undles\UI\Common\ES_LunTan.prefab   打开游戏论坛,交流游戏心得,寻找游戏攻略。\n论坛还会不定时举行游戏活动哦！
undles\UI\Common\ES_MainActivityTip.prefab   世界领主活动开启
undles\UI\Common\ES_MainActivityTip.prefab   活动提醒
undles\UI\Common\ES_MainHpBar.prefab   吟唱中，请及时打断
undles\UI\Common\ES_MainHpBar.prefab   伤害输出
undles\UI\Common\ES_MainHpBar.prefab   玩家：1000
undles\UI\Common\ES_MainHpBar.prefab   宠物：1000
undles\UI\Common\ES_MainHpBar.prefab   狼王
undles\UI\Common\ES_MainHpBar.prefab   等级
undles\UI\Common\ES_MainHpBar.prefab   归属：
undles\UI\Common\ES_MainHpBar.prefab   初级领主
undles\UI\Common\ES_MainPetFight.prefab    10
undles\UI\Common\ES_MainSkill.prefab   8
undles\UI\Common\ES_MapMini.prefab   罗兰洞窟
undles\UI\Common\ES_MapMini.prefab   雨
undles\UI\Common\ES_MapMini.prefab   10:10
undles\UI\Common\ES_NewYearCollectionWord.prefab   提示：每日凌晨重置当天的兑换次数
undles\UI\Common\ES_NewYearMonster.prefab   活动介绍
undles\UI\Common\ES_NewYearMonster.prefab   1.在宝藏之地每天20点21点22点3个时间点会刷新年兽。
undles\UI\Common\ES_NewYearMonster.prefab   2.年兽出现时无法使用攻击对其造成伤害。
undles\UI\Common\ES_NewYearMonster.prefab   3.需要使用鞭炮道具对年兽进行投掷造成伤害。
undles\UI\Common\ES_NewYearMonster.prefab   4.鞭炮在击败怪物时和开启福字时有概率掉落。
undles\UI\Common\ES_NewYearMonster.prefab   5.只要用鞭炮对年兽造成伤害，在击败年兽时即可掉落奖励。
undles\UI\Common\ES_NewYearMonster.prefab   6.每天晚上21点15分，会在宝藏之地刷新年兽：夕，此怪物攻击可以造成伤害，击败时将掉落大量战利品喔！
undles\UI\Common\ES_OpenBox.prefab   开启中……
undles\UI\Common\ES_PaiMaiBuy.prefab   搜索
undles\UI\Common\ES_PaiMaiBuy.prefab   输入搜索道具名称...
undles\UI\Common\ES_PaiMaiBuy.prefab   物品
undles\UI\Common\ES_PaiMaiBuy.prefab   价格
undles\UI\Common\ES_PaiMaiBuy.prefab   剩余时间
undles\UI\Common\ES_PaiMaiBuy.prefab   出售玩家
undles\UI\Common\ES_PaiMaiBuy.prefab   下一页
undles\UI\Common\ES_PaiMaiBuy.prefab   上一页
undles\UI\Common\ES_PaiMaiDuiHuan.prefab   兑换比例
undles\UI\Common\ES_PaiMaiDuiHuan.prefab   确认兑换
undles\UI\Common\ES_PaiMaiDuiHuan.prefab   兑换商品
undles\UI\Common\ES_PaiMaiDuiHuan.prefab   100
undles\UI\Common\ES_PaiMaiDuiHuan.prefab   兑换金币
undles\UI\Common\ES_PaiMaiDuiHuan.prefab   消耗钻石
undles\UI\Common\ES_PaiMaiDuiHuan.prefab   兑换规则: 每天兑换金币会根据当天的兑换量进行变化。
undles\UI\Common\ES_PaiMaiDuiHuan.prefab   每100钻石会额外获得1兑换币,可以在右下角进行兑换道具。
undles\UI\Common\ES_PaiMaiDuiHuan.prefab   兑换币
undles\UI\Common\ES_PaiMaiSell.prefab   道具出售
undles\UI\Common\ES_PaiMaiSell.prefab   提示：材料相关道具将由系统进行统一收购销售
undles\UI\Common\ES_PaiMaiSell.prefab   我上架的商品
undles\UI\Common\ES_PaiMaiSell.prefab   全部
undles\UI\Common\ES_PaiMaiSell.prefab   材料
undles\UI\Common\ES_PaiMaiSell.prefab   上架道具
undles\UI\Common\ES_PaiMaiSell.prefab   取消上架
undles\UI\Common\ES_PaiMaiSell.prefab   已上架时间：
undles\UI\Common\ES_PaiMaiShop.prefab   购 买
undles\UI\Common\ES_PaiMaiShop.prefab   提示：凌晨会进行刷新拍卖行价格
undles\UI\Common\ES_PetChallenge.prefab   等级:9
undles\UI\Common\ES_PetChallenge.prefab   星级奖励
undles\UI\Common\ES_PetChallenge.prefab   9/9
undles\UI\Common\ES_PetChallenge.prefab   调整阵容
undles\UI\Common\ES_PetChallenge.prefab   开始挑战
undles\UI\Common\ES_PetChallenge.prefab   0/111
undles\UI\Common\ES_PetChallenge.prefab   今日进入次数:
undles\UI\Common\ES_PetChallenge.prefab   阵容搭配
undles\UI\Common\ES_PetEggChouKa.prefab   今日累计次数：1
undles\UI\Common\ES_PetEggChouKa.prefab   运气值
undles\UI\Common\ES_PetEggChouKa.prefab   150/10
undles\UI\Common\ES_PetEggChouKa.prefab   1350
undles\UI\Common\ES_PetEggChouKa.prefab   提示：可以在此处探索，可获得宠物之核和稀有的宠物蛋道具
undles\UI\Common\ES_PetEggChouKa.prefab   探索宠物
undles\UI\Common\ES_PetEggChouKa.prefab   探索十次
undles\UI\Common\ES_PetEggChouKa.prefab   宠物仓库
undles\UI\Common\ES_PetEggChouKa.prefab   宠核仓库
undles\UI\Common\ES_PetEggChouKa.prefab   说明
undles\UI\Common\ES_PetEggChouKa.prefab   掉落展示
undles\UI\Common\ES_PetEggChouKa.prefab   150
undles\UI\Common\ES_PetEggDuiHuan.prefab   兑换宠物
undles\UI\Common\ES_PetEggDuiHuan.prefab   较小概率出现稀有的宠物蛋
